Item,Qty,Reference(s),Value,LibPart,Footprint,Mouser
1,20,"C1, C3, C4, C6, C7, C8, C9, C10, C11, C12, C13, C14, C15, C18, C19, C24, C26, C29, C31, C35",0.1,device:C_Small,Roland:C_DISC_200,581-SR215E104MAT
2,4,"C2, C16, C23, C33",100/6.3,device:CP1_Small,Roland:C_RADIAL_200_P,ECA-0JM101B
3,1,C17,0.033,device:C_Small,Roland:C_DISC_200,581-SR215C333K
4,2,"C20, C30",0.0047,device:C_Small,Roland:C_DISC_200,581-SR215C472KAA
5,1,C21,0.018,device:C_Small,Roland:C_DISC_200,581-SR215C153KAR
6,1,C22,0.0039,device:C_Small,Roland:C_DISC_200,581-SR215C332KAR
7,1,C25,22p,device:C_Small,Roland:C_DISC_200,581-SR215A220KARTR1
8,1,C27,0.0068,device:C_Small,Roland:C_DISC_200,581-SR215C682KAR
9,1,C28,0.027,device:C_Small,Roland:C_DISC_200,581-SR211E273M
10,1,C32,15p,device:C_Small,Roland:C_DISC_200,581-SR211A150KAR
11,1,C34,0.001,device:C_Small,Roland:C_DISC_200,581-SR215C102JAR 
12,2,"C5A1, C5B1",C_Small,device:C_Small,Roland:C_DISC_200,581-SR211A150KAR
13,2,"D1, D2",?,device:D_Small_ALT,Roland:D_200,512-1N4148
14,1,D3,1S2473,device:D_Small_ALT,Roland:D_200,512-1N4148
15,9,"FL1, FL2, FL3, FL4, FL5, FL6, FL7, FL8, FL9",EMI_Filter_C,device:EMI_Filter_C,Roland:FILT_200,652-EMI101T-RC
16,1,IC1,LC3517,Roland:LC3517,Active:DIP254P1524X635-24,
17,1,IC2,HG62E08,Roland:HG62E08,Roland:TQFP-64,
18,1,IC3,HD6801VD855P,Roland:HD6801VD855P,Active:DIP254P1524X635-40,
19,2,"IC4, IC6",74LS05,74xx:74LS05,Active:DIP254P762X635-14,595-SN74LS05N
20,1,IC5,74LS02,74xx:74LS02,Active:DIP254P762X635-14,595-SN74LS02N
21,1,IC7,74LS32,74xx:74LS32,Active:DIP254P762X635-14,595-SN74LS32N
22,1,IC8,74LS04,74xx:74LS04,Active:DIP254P762X635-14,595-SN74LS04N
23,1,IC9,74LS74,74xx:74LS74,Active:DIP254P762X635-14,SN74LS74AN
24,1,IC10,74LS138,74xx:74LS138,Active:DIP254P762X635-16,595-SN74LS138N
25,1,IC11,74LS573,74xx:74LS573,Active:DIP254P762X635-20,
26,1,IC12,74LS86_P,Roland:74LS86_P,Active:DIP254P762X635-14,595-SN74LS86AN
27,2,"IC13, IC15",74LS688,74xx:74LS688,Active:DIP254P762X635-20,595-SN74LS688N
28,1,IC14,HEF4093B,cmos4000:HEF4093B,Active:DIP254P762X635-14,595-CD4093BE
29,1,IC16,5218,linear:LM2904,Active:DIP254P762X635-8,595-TLV2362IP
30,1,IC17,H11L1,opto:H11L1,Active:DIP254P762X635-6,512-H11L1TVM 
31,1,IRQ1,Conn_02x06_Odd_Even,conn:Conn_02x06_Odd_Even,Pin_Headers:Pin_Header_Straight_2x06_Pitch2.54mm,
32,1,J1,DB9_Female_MountingHoles,conn:DB9_Female_MountingHoles,Roland:DE-9B,806-K22X-E9S-NJ
35,1,L2,BL02RN2-R62,device:L_Core_Ferrite_Small,Roland:FERR_200,81-BL03RN2R1P1A
36,5,"Q1, Q2, Q3, Q4, Q5",2SC1815,transistors:2SC1815,Roland:Q_200_J,610-2SC1815
37,10,"R1, R3, R7, R8, R9, R10, R11, R13, R31, R44",4.7K,device:R_Small,Roland:R_AXIAL_200,603-CFR-12JB-52-4K7
38,8,"R2, R22, R23, R27, R28, R29, R36, R41",10K,device:R_Small,Roland:R_AXIAL_200,603-CFR-12JB-52-10K
39,5,"R4, R5, R17, R25, R30",33K,device:R_Small,Roland:R_AXIAL_200,603-CFR-12JB-52-33K
40,1,R6,1M,device:R_Small,Roland:R_AXIAL_200,603-CFR-12JB-52-1M
41,1,R12,100,device:R_Small,Roland:R_AXIAL_200,603-CFR-12JB-52-100R
42,1,R14,82K,device:R_Small,Roland:R_AXIAL_200,603-CFR-12JB-52-82K
43,1,R15,22K,device:R_Small,Roland:R_AXIAL_200,603-CFR-12JB-52-22K
44,1,R16,47K,device:R_Small,Roland:R_AXIAL_200,603-CFR-12JB-52-47K
45,2,"R18, R20",180,device:R_Small,Roland:R_AXIAL_200,603-CFR-12JB-52-150R
46,2,"R19, R35",1K,device:R_Small,Roland:R_AXIAL_200,603-CFR-12JB-52-1K
47,1,R21,6.8K,device:R_Small,Roland:R_AXIAL_200,603-CFR-12JB-52-6K8
48,1,R24,820K,device:R_Small,Roland:R_AXIAL_200,603-CFR-12JB-52-820K
49,1,R26,470K,device:R_Small,Roland:R_AXIAL_200,603-CFR-12JR-52-470K
50,2,"R32, R33",470,device:R_Small,Roland:R_AXIAL_200,603-CFR-12JB-52-470R
51,2,"R34, R43",100K,device:R_Small,Roland:R_AXIAL_200,603-CFR-12JB-52-100K
52,1,R37,270,device:R_Small,Roland:R_AXIAL_200,603-CFR-12JB-52-270R
53,3,"R38, R39, R40",220,device:R_Small,Roland:R_AXIAL_200,603-CFR-12JB-52-220R
54,1,RA1,R_Network08,device:R_Network08,Resistors_THT:R_Array_SIP9,652-4609X-1LF-33K
55,1,X1,Crystal,device:Crystal,Roland:Y_200,520-HCU400-20X
